idx,tag,name,desc
0,Ag,形语素,形容词性语素。形容词代码为 a，语素代码ｇ前面置以 A。
1,a,形容词,取英语形容词 djective 的第 1 个字母。
2,ad,副形词,直接作状语的形容词。形容词代码 a 和副词代码 d 并在一起。
3,an,名形词,具有名词功能的形容词。形容词代码 a 和名词代码 n 并在一起。
4,Bg,区别语素,
5,b,区别词,取汉字“别”的声母。
6,c,连词,取英语连词 conjunction 的第 1 个字母。
7,Dg,副语素,副词性语素。副词代码为 d，语素代码ｇ前面置以 D。
8,d,副词,取 adverb 的第 2 个字母，因其第 1 个字母已用于形容词。
9,dc,程度副词,
10,df,否定副词,
11,e,叹词,取英语叹词 exclamation 的第 1 个字母。
12,f,方位词,取汉字“方” 的声母。
13,g,语素,绝大多数语素都能作为合成词的“词根”，取汉字“根”的声母。由于实际标注时，一定标注其子类，所以从来没有用到过 g。
14,h,前接成分,取英语 head 的第 1 个字母。
15,i,成语,取英语成语 idiom 的第 1 个字母。
16,ia,形容词功能成语,
17,ib,区别词功能成语,
18,id,副词功能成语,
19,in,名词功能成语,
20,iv,动词功能成语,
21,j,简称略语,取汉字“简”的声母。
22,ja,形容词功能简称,
23,jb,区别词功能简称,
24,jd,副词功能简称,
25,jn,名词功能简称,
26,jv,动词功能简称,
27,k,后接成分,
28,l,习用语,习用语尚未成为成语，有点“临时性”，取“临”的声母。
29,la,形容词功能习用语,
30,lb,区别词功能成语,
31,ld,副词功能习用语,
32,ln,名词功能习用语,
33,lv,动词功能习用语,
34,m,数词,取英语 numeral 的第 3 个字母，n，u 已有他用。 
35,mq,数量词,在语法信息词典中归入数词库的数量短语。
36,Ng,名语素,名词性语素。名词代码为 n，语素代码ｇ前面置以 N。
37,n,名词,取英语名词 noun 的第 1 个字母。
38,nr,人名,名词代码 n 和“人(ren)”的声母并在一起。
39,nrf,姓,
40,nrg,名,
41,ns,地名,名词代码 n 和处所词代码 s 并在一起。
42,nt,机构团体,“团”的声母为 t，名词代码 n 和 t 并在一起。
43,nx,非汉字串,
44,nz,其他专名,“专”的声母的第 1 个字母为 z，名词代码 n 和 z 并在一起。
45,o,拟声词,取英语拟声词 onomatopoeia 的第 1 个字母。
46,p,介词,取英语介词 prepositional 的第 1 个字母。
47,Qg,量语素,
48,q,量词,取英语 quantity 的第 1 个字母。
49,qb,不定量词,
50,qc,成形量词,
51,qd,度量词,
52,qe,个体量词,
53,qj,集体量词,
54,ql,倍率量词,
55,qr,容器量词,
56,qt,时量词,
57,qv,动量词,
58,qz,种类量词,
59,Rg,代语素,
60,r,代词,取英语代词 pronoun 的第 2 个字母 因 p 已用于介词。
61,rr,人称代词,
62,ry,疑问代词,
63,ryw,谓词性疑问代词,
64,rz,指示代词,
65,rzw,谓词性指示代词,
66,s,处所词,取英语 space 的第 1 个字母。
67,Tg,时语素,时间词性语素。时间词代码为 t 在语素的代码 g 前面置以 T。
68,t,时间词,取英语 time 的第 1 个字母。
69,tt,专名时间词,用于标注中国历史朝代的时间词。
70,u,助词,取英语助词 auxiliary 的第 2 个字母 因 a 已用于形容词。
71,ud,助词“的”,
72,ue,助词“得”,
73,ui,助词“地”,
74,ul,助词“了”,
75,uo,助词“过”,
76,us,助词“所”,
77,uz,助词“着”,
78,Vg,动语素,动词性语素。动词代码为 v。在语素的代码 g 前面置以 V。
79,v,动词,取英语动词 verb 的第一个字母。
80,vd,副动词,直接作状语的动词。动词和副词的代码并在一起。
81,vi,不及物动词,
82,vl,联系动词,
83,vn,名动词,指具有名词功能的动词。动词和名词的代码并在一起。
84,vq,趋向动词,
85,vu,助动词,
86,vx,形式动词,
87,w,标点符号,
88,wd,逗号,
89,wf,分号,
90,wj,句号,
91,wk,括号,
92,wky,右括号,
93,wkz,左括号,
94,wm,冒号,
95,wp,破折号,
96,ws,省略号,
97,wt,叹号,
98,wu,顿号,
99,ww,问号,
100,wy,引号,
101,wyy,右引号,
102,wyz,左引号,
103,x,非语素字,非语素字只是一个符号，字母 x 通常用于代表未知数、符号。
104,y,语气词,取汉字“语”的声母。
105,z,状态词,取汉字“状”的声母的前一个字母。
106,Mg,,
107,vvn,,
108,na,,
109,Yg,,